,date,Date,Day,Exercise,Set,Reps,Weight,LLTB,Core,PDT,GHQC,Volume
0,2021-10-04,04-Oct-2021,Monday,Squat,1,15,30,45.0,45.0,0.0,360.0,450.0
1,2021-10-04,04-Oct-2021,Monday,Squat,2,20,50,100.0,100.0,0.0,800.0,1000.0
2,2021-10-04,04-Oct-2021,Monday,Medicine Ball Chest Pass,1,20,20,0.0,40.0,360.0,0.0,400.0
3,2021-10-04,04-Oct-2021,Monday,Medicine Ball Chest Pass,2,30,25,0.0,75.0,675.0,0.0,750.0
4,2021-10-04,04-Oct-2021,Monday,Bench Press,1,10,50,0.0,50.0,450.0,0.0,500.0
5,2021-10-04,04-Oct-2021,Monday,Bench Press,2,15,70,0.0,105.0,945.0,0.0,1050.0
6,2021-10-04,04-Oct-2021,Monday,Bench Press,3,20,70,0.0,140.0,1260.0,0.0,1400.0
7,2021-10-04,04-Oct-2021,Monday,Single Arm Rows,1,20,15,270.0,30.0,0.0,0.0,300.0
8,2021-10-04,04-Oct-2021,Monday,Single Arm Rows,2,25,15,337.5,37.5,0.0,0.0,375.0
9,2021-10-04,04-Oct-2021,Monday,Single Arm Rows,3,30,15,405.0,45.0,0.0,0.0,450.0
10,2021-10-04,04-Oct-2021,Monday,Barbell Row,1,10,50,450.0,0.0,0.0,50.0,500.0
11,2021-10-04,04-Oct-2021,Monday,Barbell Row,2,15,50,675.0,0.0,0.0,75.0,750.0
12,2021-10-04,04-Oct-2021,Monday,Barbell Row,3,20,50,900.0,0.0,0.0,100.0,1000.0
13,2021-10-04,04-Oct-2021,Monday,Pushups,1,20,70,0.0,0.0,1400.0,0.0,1400.0
14,2021-10-04,04-Oct-2021,Monday,Pushups,2,30,70,0.0,0.0,2100.0,0.0,2100.0
15,2021-10-05,05-Oct-2021,Tuesday,Medicine Ball Slams,1,10,30,99.89999999999999,99.89999999999999,99.89999999999999,0.0,300.0
16,2021-10-05,05-Oct-2021,Tuesday,Medicine Ball Slams,2,15,50,249.74999999999997,249.74999999999997,249.74999999999997,0.0,750.0
17,2021-10-05,05-Oct-2021,Tuesday,Bicep Curl,1,20,15,300.0,0.0,0.0,0.0,300.0
18,2021-10-05,05-Oct-2021,Tuesday,Bicep Curl,2,30,15,450.0,0.0,0.0,0.0,450.0
19,2021-10-05,05-Oct-2021,Tuesday,Bicep Curl,3,30,20,600.0,0.0,0.0,0.0,600.0
20,2021-10-05,05-Oct-2021,Tuesday,Barbell Tricep,1,15,50,0.0,0.0,750.0,0.0,750.0
21,2021-10-05,05-Oct-2021,Tuesday,Barbell Tricep,2,20,60,0.0,0.0,1200.0,0.0,1200.0
22,2021-10-05,05-Oct-2021,Tuesday,Barbell Tricep,3,30,40,0.0,0.0,1200.0,0.0,1200.0
23,2021-10-05,05-Oct-2021,Tuesday,Tricep Extension,1,25,15,0.0,0.0,375.0,0.0,375.0
24,2021-10-05,05-Oct-2021,Tuesday,Tricep Extension,2,30,15,0.0,0.0,450.0,0.0,450.0
25,2021-10-05,05-Oct-2021,Tuesday,Tricep Extension,3,30,15,0.0,0.0,450.0,0.0,450.0
26,2021-10-05,05-Oct-2021,Tuesday,Medicine Ball Lateral Throws,1,15,30,0.0,450.0,0.0,0.0,450.0
27,2021-10-05,05-Oct-2021,Tuesday,Medicine Ball Lateral Throws,2,20,30,0.0,600.0,0.0,0.0,600.0
28,2021-10-06,06-Oct-2021,Wednesday,Bulgarian Squat,1,20,40,0.0,80.0,0.0,720.0,800.0
29,2021-10-06,06-Oct-2021,Wednesday,Bulgarian Squat,2,30,40,0.0,120.0,0.0,1080.0,1200.0
30,2021-10-06,06-Oct-2021,Wednesday,Deadlift,1,15,90,405.0,135.0,0.0,810.0,1350.0
31,2021-10-06,06-Oct-2021,Wednesday,Deadlift,2,20,100,600.0,200.0,0.0,1200.0,2000.0
32,2021-10-06,06-Oct-2021,Wednesday,Deadlift,3,25,110,825.0,275.0,0.0,1650.0,2750.0
33,2021-10-06,06-Oct-2021,Wednesday,Shoulder Press,1,15,40,60.0,0.0,540.0,0.0,600.0
34,2021-10-06,06-Oct-2021,Wednesday,Shoulder Press,2,20,40,80.0,0.0,720.0,0.0,800.0
35,2021-10-06,06-Oct-2021,Wednesday,Shoulder Press,3,30,40,120.0,0.0,1080.0,0.0,1200.0
36,2021-10-06,06-Oct-2021,Wednesday,Barbell Overhead Press,1,10,30,30.0,0.0,270.0,0.0,300.0
37,2021-10-06,06-Oct-2021,Wednesday,Barbell Overhead Press,2,15,30,45.0,0.0,405.0,0.0,450.0
38,2021-10-06,06-Oct-2021,Wednesday,Barbell Overhead Press,3,20,40,80.0,0.0,720.0,0.0,800.0
39,2021-10-06,06-Oct-2021,Wednesday,Ab Crunch,1,20,20,0.0,400.0,0.0,0.0,400.0
40,2021-10-06,06-Oct-2021,Wednesday,Ab Crunch,2,30,20,0.0,600.0,0.0,0.0,600.0
41,2021-10-07,07-Oct-2021,Thursday,Bicep Curl,1,10,15,150.0,0.0,0.0,0.0,150.0
42,2021-10-07,07-Oct-2021,Thursday,Bicep Curl,2,12,20,240.0,0.0,0.0,0.0,240.0
43,2021-10-07,07-Oct-2021,Thursday,Bicep Curl,3,15,20,300.0,0.0,0.0,0.0,300.0
44,2021-10-07,07-Oct-2021,Thursday,Bench Press,1,10,50,0.0,50.0,450.0,0.0,500.0
45,2021-10-07,07-Oct-2021,Thursday,Bench Press,2,12,60,0.0,72.0,648.0,0.0,720.0
46,2021-10-07,07-Oct-2021,Thursday,Bench Press,3,15,70,0.0,105.0,945.0,0.0,1050.0
47,2021-10-05,05-Oct-2021,Tuesday,Medicine Ball Slams,1,10,50,,,,,
48,2021-10-05,05-Oct-2021,Tuesday,Medicine Ball Slams,2,12,60,,,,,
49,2021-10-05,05-Oct-2021,Tuesday,Medicine Ball Slams,3,15,70,,,,,
